"Latest: Time (min)","Latest: Dissolved Oxygen (mg/L)","Latest: Salinity (ppt)","Latest: Temperature (°C)","Latest: Pressure (kPa)","Latest: Dissolved Oxygen 2 (mg/L)","Latest: Dissolved Oxygen 3 (mg/L)","Latest: Dissolved Oxygen 4 (mg/L)","Latest: FlowV3 (V)","Latest: FlowV4 (V)","Latest: Potential (V)","Latest: Potential 2 (V)","Latest: Time-run (min)","Latest: Sawtooth","Latest: PWM(Circ=1 Flush=0)","Latest: Flag","Latest: DO1cor (mg/L)","Latest: NoSlopeSamples","Latest: DO1slope ((mg/L)/min)","Latest: VO2-1 (mg/kg/h)","Latest: collapse(Time) (min)","Latest: collapse(VO2-1) (mg/kg/h)","Latest: NoRestSamples","Latest: DO2cor (mg/L)","Latest: DO2slope ((mg/L)/min)","Latest: VO2-2 (mg/kg/h)","Latest: collapse(VO2-2) (mg/kg/h)","Latest: DO3cor (mg/L)","Latest: DO4cor (mg/L)","Latest: DO3slope ((mg/L)/min)","Latest: DO4slope ((mg/L)min)","Latest: VO2-3 (mg/kg/h)","Latest: VO2-4 (mg/kg/h)","Latest: collapse(VO2-3) (mg/kg/h)","Latest: collapse(VO2-4) (mg/kg/h)"
0,8.57693673867,7.6833793025,23.6119372289,102.45240625,8.93568422281,8.61186206085,8.68645983638,2.0873260498,2.05924987793,0.82649230957,2.07946777344,0,0,0,,,,,,10,145.217352912,,,,,53.9096756743,,,,,,,5.03321314007,14.8396342596
0.0166666666667,8.57795398107,7.67317684327,23.6221037109,102.45240625,8.93466698041,8.61186206085,8.68747707877,2.0873260498,2.05947875977,0.826416015625,2.07954406738,0.0166666666667,0.00166666666667,0,,8.22409283206,224,,,20,36.0770102751,0,8.5808058314,,,85.3084900559,8.25800091184,8.33361592976,,,,,125.054184855,115.386313149
0.0333333333333,8.5721896075,7.68801678397,23.6250083815,102.4506875,8.93568422281,8.61220114165,8.68679891718,2.0873260498,2.05940246582,0.82649230957,2.07954406738,0.0333333333333,0.00333333333333,0,,8.21766292691,225,,,30,200.064708194,0,8.58115754222,,,100.176418766,8.25767446106,8.33227223659,,,,,1.88638972646,15.3139893114
0.05,8.56642523394,7.67503183585,23.6279130351,102.44725,8.94043135398,8.61186206085,8.68679891718,2.0873260498,2.05940246582,0.826568603516,2.07954406738,0.05,0.005,0,,8.21251614446,224,,,40,128.862938543,0,8.5865222645,,,66.5588764241,8.25795297137,8.3328898277,,,,,12.3954092033,17.7664490436
0.0666666666667,8.56676431474,7.67874182103,23.6264607104,102.4506875,8.94077043477,8.61152298005,8.68713799798,2.08724975586,2.05963134766,0.82649230957,2.07946777344,0.0666666666667,0.00666666666667,0,,8.21267474699,224,,,50,156.689305113,0,8.58668086702,,,136.279353727,8.2574334123,8.33304843023,,,,,4.44189003279,20.8019972072
0.0833333333333,8.55998269878,7.68245180621,23.6366268934,102.45240625,8.94551756594,8.61186206085,8.68679891718,2.0873260498,2.05947875977,0.826568603516,2.07939147949,0.0833333333333,0.00833333333333,0,,8.20578789361,225,,,60,157.710932775,0,8.59132276077,,,431.096860534,8.25766725568,8.33260411201,,,,,20.6075898503,12.5510300898
0.1,8.55998269878,7.69358176173,23.6366268934,102.4506875,8.94721296993,8.61186206085,8.68781615957,2.08724975586,2.0597076416,0.82633972168,2.07946777344,0.1,0.01,0,,8.20527475372,224,,,,,0,8.59250502487,,,,8.25715411579,8.33310821451,,,,,,
0.116666666667,8.55964361798,7.69172676915,23.6438883252,102.4506875,8.9529773435,8.61152298005,8.68679891718,2.08740234375,2.05947875977,0.826416015625,2.07939147949,0.116666666667,0.0116666666667,0,,8.20506825146,224,,,,,0,8.59840197698,,,,8.25694761353,8.33222355066,,,,,,
0.133333333333,8.56066086037,7.70007423579,23.6511496511,102.4506875,8.9529773435,8.61186206085,8.68713799798,2.08740234375,2.05947875977,0.826568603516,2.07954406738,0.133333333333,0.0133333333333,0,,8.2057477706,225,,,,,0,8.59806425373,,,,8.25694897108,8.33222490821,,,,,,
0.15,8.56032177958,7.68801678397,23.6540541519,102.44896875,8.95806355546,8.61186206085,8.68747707877,2.0873260498,2.05940246582,0.826416015625,2.07954406738,0.15,0.015,0,,8.20598323942,224,,,,,0,8.6037250153,,,,8.25752352069,8.33313853861,,,,,,
0.166666666667,8.56032177958,7.69079927285,23.6671241975,102.44725,8.95806355546,8.61152298005,8.68679891718,2.08724975586,2.05940246582,0.82649230957,2.07962036133,0.166666666667,0.0166666666667,0,,8.20593955515,224,,,,,0,8.60368133103,,,,8.25714075562,8.33241669275,,,,,,
0.183333333333,8.55998269878,7.68616179138,23.6613153303,102.44896875,8.95806355546,8.61186206085,8.69324145234,2.0873260498,2.05955505371,0.82649230957,2.07939147949,0.183333333333,0.0183333333333,0,,8.20577661433,225,,,,,0,8.60385747101,,,,8.2576559764,8.33903536789,,,,,,
0.2,8.55557464841,7.68430679879,23.6496973944,102.454125,8.96213252504,8.61186206085,8.69358053314,2.0873260498,2.05963134766,0.826644897461,2.07954406738,0.2,0.02,0,,8.20137891916,224,,,,,0,8.60793679579,,,,8.2576663316,8.33938480389,,,,,,
0.216666666667,8.55523556761,7.68059681362,23.6235560483,102.44896875,8.96348884823,8.61186206085,8.69290237154,2.08724975586,2.05947875977,0.826644897461,2.07946777344,0.216666666667,0.0216666666667,0,,8.20104164423,224,,,,,0,8.60929492485,,,,8.25766813747,8.33870844816,,,,,,
0.233333333333,8.54913211325,7.69729174691,23.6148419595,102.45928125,8.96281068663,8.61186206085,8.69256329074,2.08740234375,2.05947875977,0.826797485352,2.07939147949,0.233333333333,0.0233333333333,0,,8.19411169941,225,,,,,0,8.60779027279,,,,8.25684164701,8.3375428769,,,,,,
0.25,8.54370682048,7.70842170244,23.5988657282,102.4506875,8.96925322179,8.61186206085,8.69290237154,2.0873260498,2.05932617188,0.826644897461,2.07946777344,0.25,0.025,0,,8.18806905521,224,,,,,0,8.61361545652,,,,8.25622429558,8.33726460627,,,,,,
0.266666666667,8.53895968931,7.71120419132,23.6003181344,102.4575625,8.96959230259,8.61220114165,8.69324145234,2.0874786377,2.05940246582,0.826797485352,2.07962036133,0.266666666667,0.0266666666667,0,,8.18320301417,224,,,,,0,8.61383562745,,,,8.25644446651,8.3374847772,,,,,,
0.283333333333,8.53387347734,7.71305918391,23.5959609028,102.44896875,8.968914141,8.61220114165,8.69324145234,2.0873260498,2.05947875977,0.826950073242,2.07939147949,0.283333333333,0.0283333333333,0,,8.17800282083,225,,,,,0,8.61304348449,,,,8.25633048514,8.33737079583,,,,,,
0.3,8.52878726538,7.72140665055,23.6119372289,102.45584375,8.96281068663,8.61220114165,8.68747707877,2.08724975586,2.05940246582,0.826568603516,2.07946777344,0.3,0.03,0,,8.17263567247,224,,,,,0,8.60665909372,,,,8.25604954874,8.33132548586,,,,,,
0.316666666667,8.52268381101,7.71584167279,23.6090324811,102.45240625,8.95806355546,8.61186206085,8.68781615957,2.0873260498,2.05947875977,0.826721191406,2.07954406738,0.316666666667,0.0316666666667,0,,8.16676998052,224,,,,,0,8.60214972497,,,,8.25594823036,8.33190232908,,,,,,
0.333333333333,8.52302289181,7.71584167279,23.6177466729,102.45928125,8.95806355546,8.61220114165,8.68679891718,2.08724975586,2.05940246582,0.826721191406,2.07931518555,0.333333333333,0.0333333333333,0,,8.16716581916,225,,,,,0,8.60220648281,,,,8.256344069,8.33094184453,,,,,,
0.35,8.51725851825,7.71862416167,23.6279130351,102.4438125,8.9522991819,8.61186206085,8.69324145234,2.08740234375,2.05940246582,0.827026367188,2.07946777344,0.35,0.035,0,,8.16133931068,224,,,,,0,8.59637997433,,,,8.25594285328,8.33732224477,,,,,,
0.366666666667,8.51318954867,7.71769666538,23.6279130351,102.44896875,8.94619572754,8.61152298005,8.69358053314,2.0873260498,2.05940246582,0.826950073242,2.07954406738,0.366666666667,0.0366666666667,0,,8.15731310957,224,,,,,0,8.59031928844,,,,8.25564654095,8.33770409404,,,,,,
0.383333333333,8.51285046788,7.71955165797,23.6409837652,102.454125,8.94009227318,8.61220114165,8.69358053314,2.0873260498,2.05955505371,0.827102661133,2.07954406738,0.383333333333,0.0383333333333,0,,8.15697353479,225,,,,,0,8.58421534009,,,,8.25632420856,8.33770360005,,,,,,
0.4,8.51285046788,7.72047915426,23.6496973944,102.44896875,8.94009227318,8.61186206085,8.70002306829,2.08709716797,2.05947875977,0.826950073242,2.07946777344,0.4,0.04,0,,8.15698743224,224,,,,,0,8.58422923754,,,,8.25599902521,8.34416003265,,,,,,
0.416666666667,8.51285046788,7.71862416167,23.655506396,102.44896875,8.94009227318,8.61186206085,8.69256329074,2.0873260498,2.05947875977,0.826797485352,2.07946777344,0.416666666667,0.0416666666667,0,,8.15711067591,224,,,,,0,8.58435248121,,,,8.25612226888,8.33682349877,,,,,,
