Latest: Time (min),Latest: Dissolved Oxygen 1 (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: Potential (V),Latest: Potential 2 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0,7.520385806,7.377305525,27.56330002,101.7511563,7.500380039,7.138580841,6.468557159,2.089157104,2.084197998,2.035217285,2.100830078,0,0,0,,,,,,10,19.68617643,,,,,436.8522098,,,,,,,75.91833599,144.1305445
0.016666667,7.520046725,7.227978622,27.57490965,101.7477188,7.495971988,7.131121063,6.468218079,2.089233398,2.084197998,2.035140991,2.100982666,0.016666667,0.001666667,0,,7.207602824,224,,,20,31.34230557,0,7.183528087,,,320.8413529,6.155774177,6.818677162,,,,,191.3992981,173.6748659
0.033333333,7.512926028,7.344843155,27.5516906,101.7477188,7.495293827,7.131799225,6.476356018,2.089309692,2.084121704,2.035064697,2.100906372,0.033333333,0.003333333,0,,7.195323255,225,,,30,45.57677176,0,7.177691053,,,189.1376692,6.158753245,6.814196452,,,,,98.90420504,32.84041256
0.05,7.514621432,7.149141437,27.52266799,101.746,7.495293827,7.125356689,6.476356018,2.089309692,2.084121704,2.035140991,2.100906372,0.05,0.005,0,,7.205350472,224,,,40,28.04976488,0,7.186022866,,,242.3542544,6.167085058,6.816085729,,,,,173.0678469,119.3574466
0.066666667,7.508178897,7.170473852,27.5270213,101.7477188,7.496311069,7.119931396,6.481781311,2.089233398,2.08442688,2.035064697,2.100830078,0.066666667,0.006666667,0,,7.198004772,224,,,50,32.03853287,0,7.186136944,,,228.6185909,6.171607186,6.809757271,,,,,232.3783271,142.6819584
0.083333333,7.509196139,7.182531304,27.49799981,101.7494375,7.492920261,7.115184265,6.48144223,2.089233398,2.084121704,2.035217285,2.100982666,0.083333333,0.008333333,0,,7.198368951,225,,,60,14.43818821,0,7.182093073,,,259.3576048,6.170615042,6.804357077,,,,,190.6083021,148.7141898
0.1,7.503770847,7.202936222,27.48639158,101.7494375,7.49258118,7.10874173,6.485850281,2.089233398,2.084197998,2.035217285,2.100830078,0.1,0.01,0,,7.1920078,224,,,,,0,7.180818134,,,,6.174087235,6.796978684,,,,,,
0.116666667,7.504109927,7.32351074,27.49074465,101.7494375,7.486477726,7.109080811,6.4855112,2.089157104,2.084197998,2.035217285,2.100830078,0.116666667,0.011666667,0,,7.187148229,224,,,,,0,7.169516027,,,,6.168549501,6.792119112,,,,,,
0.133333333,7.503770847,7.246528548,27.51686363,101.7511563,7.486477726,7.103655518,6.496700867,2.089233398,2.084274292,2.034988403,2.100906372,0.133333333,0.013333333,0,,7.190260414,225,,,,,0,7.172967293,,,,6.183190434,6.790145085,,,,,,
0.15,7.503770847,7.417187866,27.50380401,101.7442813,7.486816807,7.103655518,6.503821564,2.089309692,2.084197998,2.035217285,2.100753784,0.15,0.015,0,,7.182815974,224,,,,,0,7.165861934,,,,6.182866691,6.782700645,,,,,,
0.166666667,7.508857059,7.198298741,27.5009019,101.746,7.478678868,7.098908386,6.507212372,2.089233398,2.084197998,2.035140991,2.100830078,0.166666667,0.016666667,0,,7.197360718,224,,,,,0,7.167182527,,,,6.195716032,6.787412046,,,,,,
0.183333333,7.508517978,7.368958059,27.51251039,101.7477188,7.487155887,7.099586548,6.512637665,2.089157104,2.084350586,2.035293579,2.100906372,0.183333333,0.018333333,0,,7.189690579,225,,,,,0,7.168328489,,,,6.193810266,6.780759149,,,,,,
0.2,7.507839816,7.188096281,27.51831472,101.746,7.486816807,7.094161255,6.519419281,2.089233398,2.084274292,2.035140991,2.100830078,0.2,0.02,0,,7.196863947,224,,,,,0,7.175840937,,,,6.208443412,6.783185385,,,,,,
0.216666667,7.508178897,7.182531304,27.50815719,101.7442813,7.478678868,7.093822174,6.532643433,2.089157104,2.084274292,2.035064697,2.100830078,0.216666667,0.021666667,0,,7.197397763,224,,,,,0,7.167897734,,,,6.221862299,6.78304104,,,,,,
