Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV1 (V),Latest: FlowV2 (V),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0,6.504873419,15.69045481,23.81813177,101.361,6.425528512,6.598798798,6.098993703,2.13218689,2.107849121,0.82901001,2.082748413,0,0,0,,,,,,10,127.2985001,,,,,215.9206574,,,,,,,6.440391891,384.5713226
0.016666667,6.50555158,15.65891993,23.82684243,101.3661563,6.422137704,6.599137878,6.105775319,2.131958008,2.107772827,0.828475952,2.082672119,0.016666667,0.001666667,0,,5.786099188,224,,,20,137.7500694,0,5.702685312,,,252.1532179,5.386322928,5.879685487,,,,,29.28926958,38.92293781
0.033333333,6.504534338,15.67561487,23.82103534,101.3644375,6.415695169,6.599137878,6.105097158,2.131881714,2.108078003,0.828475952,2.082672119,0.033333333,0.003333333,0,,5.784239228,225,,,30,92.29524001,0,5.695400059,,,258.797475,5.384802048,5.878842768,,,,,28.55315635,138.4861879
0.05,6.498091803,15.68025235,23.80796916,101.367875,6.408574472,6.604224091,6.111539693,2.13218689,2.108154297,0.828552246,2.082519531,0.05,0.005,0,,5.77741318,224,,,40,133.6964231,0,5.68789585,,,253.4706115,5.390861071,5.883545468,,,,,44.62209954,27.88693932
0.066666667,6.504195257,15.74053961,23.81522819,101.367875,6.408574472,6.604224091,6.112556935,2.132034302,2.107925415,0.82824707,2.082672119,0.066666667,0.006666667,0,,5.78084084,224,,,50,101.1374371,0,5.685220055,,,308.9966788,5.389202519,5.880869674,,,,,39.58380665,89.85825685
0.083333333,6.504873419,15.68117985,23.79925819,101.3695938,6.40348826,6.60829306,6.111539693,2.132110596,2.107925415,0.827255249,2.082672119,0.083333333,0.008333333,0,,5.784038455,225,,,60,164.9460303,0,5.682653296,,,395.9007433,5.390704729,5.887458097,,,,,41.30189952,75.24966759
0.1,6.511655034,15.70436725,23.80361369,101.3661563,6.400097452,6.609310303,6.105436239,2.132110596,2.107925415,0.826568604,2.082748413,0.1,0.01,0,,5.789811138,224,,,,,0,5.678253556,,,,5.383592342,5.887466407,,,,,,
0.116666667,6.511655034,15.71549721,23.80942097,101.3575625,6.400436533,6.608632141,6.1061144,2.132034302,2.107849121,0.826034546,2.082748413,0.116666667,0.011666667,0,,5.789375513,224,,,,,0,5.678157011,,,,5.383834879,5.88635262,,,,,,
0.133333333,6.511315954,15.65613745,23.8239389,101.361,6.39501124,6.608632141,6.1061144,2.132034302,2.107925415,0.826339722,2.082824707,0.133333333,0.013333333,0,,5.791953622,225,,,,,0,5.675648908,,,,5.386752069,5.88926981,,,,,,
0.15,6.515384923,15.69601979,23.81377639,101.3627188,6.395350321,6.609649384,6.105436239,2.132034302,2.107849121,0.827331543,2.082672119,0.15,0.015,0,,5.794057454,224,,,,,0,5.674022852,,,,5.38410877,5.888321915,,,,,,
0.166666667,6.515384923,15.69694728,23.8239389,101.3644375,6.389925028,6.608971222,6.105436239,2.132034302,2.107925415,0.828094482,2.082748413,0.166666667,0.016666667,0,,5.794147477,224,,,,,0,5.668687581,,,,5.384198792,5.887733775,,,,,,
0.183333333,6.511994115,15.6923098,23.8282942,101.3661563,6.389585947,6.609649384,6.105436239,2.13218689,2.108001709,0.828399658,2.082595825,0.183333333,0.018333333,0,,5.791026551,225,,,,,0,5.668618383,,,,5.384468674,5.888681819,,,,,,
0.2,6.511315954,15.70065727,23.81522819,101.3644375,6.38653422,6.615413757,6.104758077,2.131958008,2.107772827,0.828475952,2.082748413,0.2,0.02,0,,5.789794325,224,,,,,0,5.665012591,,,,5.383236448,5.893892128,,,,,,
0.216666667,6.516402166,15.75630705,23.82974596,101.361,6.383482493,6.609310303,6.105436239,2.132034302,2.107925415,0.829391479,2.082748413,0.216666667,0.021666667,0,,5.792513318,224,,,,,0,5.659593645,,,,5.381547391,5.885421455,,,,,,
0.233333333,6.516063085,15.76187202,23.8239389,101.3627188,6.382804331,6.608971222,6.108487966,2.13180542,2.107925415,0.829772949,2.082672119,0.233333333,0.023333333,0,,5.791842501,225,,,,,0,5.658583747,,,,5.384267382,5.884750638,,,,,,
0.25,6.515724004,15.75816204,23.81522819,101.361,6.377379039,6.609988464,6.113235097,2.131958008,2.107925415,0.829925537,2.082748413,0.25,0.025,0,,5.791559751,224,,,,,0,5.653214785,,,,5.389070844,5.885824211,,,,,,
0.266666667,6.520471135,15.70343976,23.80506552,101.3661563,6.372631907,6.608632141,6.113235097,2.132034302,2.107925415,0.830459595,2.082672119,0.266666667,0.026666667,0,,5.798688849,224,,,,,0,5.650849621,,,,5.391452811,5.886849855,,,,,,
0.283333333,6.521488378,15.69416479,23.80361369,101.3558438,6.366528453,6.60388501,6.113235097,2.132110596,2.108078003,0.830841064,2.082595825,0.283333333,0.028333333,0,,5.800113433,225,,,,,0,5.645153508,,,,5.391860152,5.882510065,,,,,,
0.3,6.520810216,15.6932373,23.81377639,101.367875,6.361781322,6.604224091,6.117643147,2.131958008,2.108078003,0.830993652,2.082672119,0.3,0.03,0,,5.799610619,224,,,,,0,5.640581725,,,,5.396443551,5.883024494,,,,,,
0.316666667,6.521149297,15.71271472,23.80796916,101.3592813,6.36110316,6.60388501,6.118321309,2.13218689,2.108001709,0.830993652,2.082595825,0.316666667,0.031666667,0,,5.798978675,224,,,,,0,5.638932538,,,,5.396150687,5.881714388,,,,,,
0.333333333,6.521488378,15.77300198,23.80796916,101.3558438,6.358390514,6.604224091,6.118321309,2.132263184,2.108078003,0.830764771,2.082595825,0.333333333,0.033333333,0,,5.796546898,225,,,,,0,5.633449035,,,,5.39337983,5.879282611,,,,,,
0.35,6.521827458,15.7934069,23.80942097,101.367875,6.353304302,6.604224091,6.11866039,2.13218689,2.108001709,0.830459595,2.082672119,0.35,0.035,0,,5.795967231,224,,,,,0,5.627444075,,,,5.392800162,5.878363863,,,,,,
0.366666667,6.516063085,15.75723454,23.80942097,101.3627188,6.357373271,6.602867767,6.123407521,2.13218689,2.108001709,0.830230713,2.082748413,0.366666667,0.036666667,0,,5.791865328,224,,,,,0,5.633175515,,,,5.399209764,5.878670011,,,,,,
0.383333333,6.521149297,15.73682962,23.79925819,101.367875,6.354321544,6.604224091,6.123746602,2.13218689,2.107925415,0.830383301,2.082672119,0.383333333,0.038333333,0,,5.797756215,225,,,,,0,5.630928463,,,,5.40035352,5.880831009,,,,,,
