"Latest: Time (min)","Latest: Dissolved Oxygen 2 (mg/L)","Latest: Salinity (ppt)","Latest: Temperature (°C)","Latest: Pressure (kPa)","Latest: Dissolved Oxygen 3 (mg/L)","Latest: Dissolved Oxygen 4 (mg/L)","Latest: Dissolved Oxygen (mg/L)","Latest: FlowV1 (V)","Latest: FlowV2 (V)","Latest: FlowV3 (V)","Latest: FlowV4 (V)","Latest: Time-run (min)","Latest: Sawtooth","Latest: PWM(Circ=1 Flush=0)","Latest: Flag","Latest: DO1cor (mg/L)","Latest: NoSlopeSamples","Latest: DO1slope ((mg/L)/min)","Latest: VO2-1 (mg/kg/h)","Latest: collapse(Time) (min)","Latest: collapse(VO2-1) (mg/kg/h)","Latest: NoRestSamples","Latest: DO2cor (mg/L)","Latest: DO2slope ((mg/L)/min)","Latest: VO2-2 (mg/kg/h)","Latest: collapse(VO2-2) (mg/kg/h)","Latest: DO3cor (mg/L)","Latest: DO4cor (mg/L)","Latest: DO3slope ((mg/L)/min)","Latest: DO4slope ((mg/L)min)","Latest: VO2-3 (mg/kg/h)","Latest: VO2-4 (mg/kg/h)","Latest: collapse(VO2-3) (mg/kg/h)","Latest: collapse(VO2-4) (mg/kg/h)"
0,6.69645406931,15.8796640528,26.9656633522,101.72021875,6.77918978398,6.98467276001,7.0101038208,2.03483581543,2.02346801758,2.06001281738,2.08976745605,0,0,0,,,,,,10,263.122333598,,,,,343.687931171,,,,,,,8.53504429831,211.560357764
0.0166666666667,6.70187936207,15.8778090602,26.96856343,101.70990625,6.77885070319,6.97890838623,7.00874749756,2.03491210938,2.02331542969,2.06001281738,2.08976745605,0.0166666666667,0.00166666666667,0,,6.00934391905,224,,,20,340.32200598,0,6.08631526017,,,346.230149808,6.31621205454,6.28637294321,,,,,39.9476160701,175.431089513
0.0333333333333,6.70798281643,15.8796640528,26.9729135635,101.70646875,6.77885070319,6.97721298218,7.0101038208,2.03498840332,2.02339172363,2.06001281738,2.08984375,0.0333333333333,0.00333333333333,0,,6.01541186216,225,,,30,229.797817629,0,6.08627974892,,,328.087846653,6.31753286653,6.28464202791,,,,,59.1641279602,140.638561487
0.05,6.71239086681,15.8805915491,26.9613132521,101.7150625,6.77206908723,6.9778911438,7.00467852783,2.03491210938,2.02362060547,2.06001281738,2.08961486816,0.05,0.005,0,,6.01965836217,224,,,40,270.801953809,0,6.07933658259,,,303.565296806,6.31194602319,6.28515863916,,,,,57.9056865317,289.063499987
0.0666666666667,6.72222420994,15.883374038,26.96856343,101.70990625,6.77173000643,6.97755206299,7.00501760864,2.03498840332,2.02362060547,2.06016540527,2.08976745605,0.0666666666667,0.00666666666667,0,,6.02944604172,224,,,50,232.506368192,0,6.07895183821,,,334.556125111,6.31223944042,6.28477389477,,,,,58.0668892791,251.305016979
0.0833333333333,6.72222420994,15.9167639046,26.9700134723,101.71334375,6.77037368324,6.97687390137,7.00535668945,2.03498840332,2.02346801758,2.05978393555,2.08961486816,0.0833333333333,0.00833333333333,0,,6.02800485991,225,,,60,274.351154808,0,6.07615433321,,,404.330318887,6.31113733942,6.28265455134,,,,,49.5225493308,255.552524887
0.1,6.72832766431,15.883374038,26.9598632232,101.7150625,6.77885070319,6.97755206299,7.00467852783,2.03468322754,2.02346801758,2.06001281738,2.08976745605,0.1,0.01,0,,6.03545863645,224,,,,,0,6.08598167532,,,,6.31180949997,6.28468303513,,,,,,
0.116666666667,6.73883916904,15.8713165862,26.9758136638,101.71678125,6.77817254159,6.97653482056,7.00433944702,2.03491210938,2.02331542969,2.06008911133,2.08992004395,0.116666666667,0.0116666666667,0,,6.04666251939,224,,,,,0,6.08599589194,,,,6.31216279737,6.28435817091,,,,,,
0.133333333333,6.745620785,15.8796640528,26.9656633522,101.7081875,6.77851162239,6.97687390137,7.00501760864,2.03491210938,2.02354431152,2.05993652344,2.08976745605,0.133333333333,0.0133333333333,0,,6.05297416064,225,,,,,0,6.08586499803,,,,6.31237098428,6.28422727701,,,,,,
0.15,6.7442644618,15.8852290306,26.9758136638,101.71334375,6.77071276404,6.97687390137,7.00433944702,2.03468322754,2.02339172363,2.06008911133,2.08976745605,0.15,0.015,0,,6.05148106543,224,,,,,0,6.07792936767,,,,6.31155605065,6.284090505,,,,,,
