"Latest: Time (min)","Latest: Dissolved Oxygen (mg/L)","Latest: Salinity (ppt)","Latest: Temperature (°C)","Latest: Pressure (kPa)","Latest: Dissolved Oxygen 2 (mg/L)","Latest: Dissolved Oxygen 3 (mg/L)","Latest: Dissolved Oxygen 4 (mg/L)","Latest: FlowV3 (V)","Latest: FlowV4 (V)","Latest: FlowV1 (V)","Latest: FlowV2 (V)","Latest: Time-run (min)","Latest: Sawtooth","Latest: PWM(Circ=1 Flush=0)","Latest: Flag","Latest: DO1cor (mg/L)","Latest: NoSlopeSamples","Latest: DO1slope ((mg/L)/min)","Latest: VO2-1 (mg/kg/h)","Latest: collapse(Time) (min)","Latest: collapse(VO2-1) (mg/kg/h)","Latest: NoRestSamples","Latest: DO2cor (mg/L)","Latest: DO2slope ((mg/L)/min)","Latest: VO2-2 (mg/kg/h)","Latest: collapse(VO2-2) (mg/kg/h)","Latest: DO3cor (mg/L)","Latest: DO4cor (mg/L)","Latest: DO3slope ((mg/L)/min)","Latest: DO4slope ((mg/L)min)","Latest: VO2-3 (mg/kg/h)","Latest: VO2-4 (mg/kg/h)","Latest: collapse(VO2-3) (mg/kg/h)","Latest: collapse(VO2-4) (mg/kg/h)"
0,8.79674760179,9.27125295787,25.4322241333,102.73771875,9.47931724788,8.39459777553,9.77940375398,2.06642150879,2.0198059082,0.89469909668,2.07633972168,0,0,0,,,,,,10,431.035594673,,,,,212.43427326,,,,,,,230.158704727,171.077266499
0.0166666666667,8.80149473296,9.22116815799,25.4293256636,102.7463125,9.48304713665,8.40036214909,9.78042099637,2.06642150879,2.01988220215,0.89485168457,2.07618713379,0.0166666666667,0.00166666666667,0,,8.38940731674,224,,,20,173.736459593,0,9.07095972043,,,59.3333110008,7.98827473287,9.36833358015,,,,,33.048574164,38.923359804
0.0333333333333,8.80251197535,9.36771257245,25.4336733671,102.73428125,9.48033449027,8.39697134111,9.78008191557,2.06634521484,2.01988220215,0.895156860352,2.07611083984,0.0333333333333,0.00333333333333,0,,8.38390564524,225,,,30,214.020523762,0,9.06172816016,,,63.0943042303,7.978365011,9.36147558546,,,,,33.0164812164,66.8540322991
0.05,8.80725910652,9.38997248351,25.4307748988,102.7394375,9.48711610623,8.39595409872,9.78720261233,2.06642150879,2.0198059082,0.893936157227,2.07618713379,0.05,0.005,0,,8.3876379876,224,,,40,269.480553136,0,9.06749498731,,,11.1335369403,7.9763329798,9.36758149341,,,,,96.8243638058,67.5294552795
0.0666666666667,8.8109889953,9.37791503168,25.4351226001,102.7394375,9.47931724788,8.39358053314,9.78109915797,2.06642150879,2.0198059082,0.894317626953,2.07618713379,0.0666666666667,0.00666666666667,0,,8.39193678312,224,,,50,266.01961786,0,9.0602650357,,,83.9413674825,7.97452832096,9.36204694579,,,,,7.90341386937,75.3477036873
0.0833333333333,8.8106499145,9.35472762433,25.4307748988,102.74115625,9.48677702543,8.39629317952,9.78109915797,2.06642150879,2.0198059082,0.893707275391,2.07641601563,0.0833333333333,0.00833333333333,0,,8.39260382546,225,,,60,173.085553846,0,9.06873093639,,,175.233969858,7.97824709048,9.36305306893,,,,,238.612239872,34.5127260033
0.1,8.81709244966,9.15809841,25.4307748988,102.74975,9.48575978303,8.39493685633,9.78109915797,2.06642150879,2.01988220215,0.893325805664,2.07626342773,0.1,0.01,0,,8.40783336943,224,,,,,0,9.0765007028,,,,7.9856777761,9.37184007774,,,,,,
0.116666666667,8.81810969205,9.16273589147,25.4351226001,102.75490625,9.48813334862,8.40036214909,9.78177731956,2.06642150879,2.01972961426,0.893020629883,2.07641601563,0.116666666667,0.0116666666667,0,,8.40867276156,224,,,,,0,9.07869641813,,,,7.9909252186,9.37234038907,,,,,,
0.133333333333,8.82251774242,9.37791503168,25.4336733671,102.76178125,9.49559312617,8.40850008824,9.78076007717,2.06634521484,2.0198059082,0.892791748047,2.07626342773,0.133333333333,0.0133333333333,0,,8.40345550442,225,,,,,0,9.07653088817,,,,7.98943785024,9.36169783917,,,,,,
0.15,8.826586712,9.29629535781,25.4336733671,102.77896875,9.49728853016,8.41392538101,9.78042099637,2.06642150879,2.01988220215,0.892868041992,2.07633972168,0.15,0.015,0,,8.41117173707,224,,,,,0,9.08187355523,,,,7.99851040608,9.36500602144,,,,,,
