Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV1 (V),Latest: FlowV2 (V),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0,6.466218201,15.63851502,26.61336364,101.7167813,6.558109104,6.697471312,6.77952887,2.035064697,2.023696899,2.060012817,2.089996338,0,0,0,,,,,,10,245.3283499,,,,,454.2617996,,,,,,,151.8722623,0.946037222
0.016666667,6.470626251,15.642225,26.62351072,101.7150625,6.555057377,6.692724181,6.774781738,2.035064697,2.023620605,2.060165405,2.089920044,0.016666667,0.001666667,0,,5.869203043,224,,,20,258.7461955,0,6.006869847,,,398.9303353,5.784771917,6.088927405,,,,,383.8914377,12.75257101
0.033333333,6.470965332,15.64778998,26.61771238,101.7099063,6.554379215,6.684925322,6.7754599,2.035140991,2.023544312,2.059936523,2.089996338,0.033333333,0.003333333,0,,5.868219654,225,,,30,286.7872712,0,5.998765761,,,513.4451524,5.784805771,6.089300339,,,,,42.9945765,28.44025602
0.05,6.472321655,15.64129751,26.60321664,101.7167813,6.555396457,6.67983911,6.776477142,2.035140991,2.023468018,2.060165405,2.089996338,0.05,0.005,0,,5.869368481,224,,,40,295.9358735,0,5.993811134,,,768.0502752,5.786293679,6.090449166,,,,,151.4549075,6.436826424
0.066666667,6.475034302,15.63851502,26.6162628,101.7167813,6.56082175,6.67543106,6.775120819,2.035140991,2.023620605,2.060089111,2.08984375,0.066666667,0.006666667,0,,5.875053597,224,,,50,303.3834157,0,5.989662907,,,139.0295967,5.789266149,6.089352666,,,,,102.1300958,7.439120973
0.083333333,6.480120514,15.9176914,26.6162628,101.7167813,6.560482669,6.675770141,6.775798981,2.035140991,2.023620605,2.060012817,2.089920044,0.083333333,0.008333333,0,,5.862472288,225,,,60,307.9917036,0,5.977759759,,,374.0554936,5.782110133,6.077788599,,,,,382.1869299,17.49331125
0.1,6.477746948,15.65242746,26.6162628,101.7202188,6.560143589,6.675091979,6.776138062,2.034988403,2.023620605,2.060089111,2.090148926,0.1,0.01,0,,5.873765358,224,,,,,0,5.988713748,,,,5.791368718,6.089759831,,,,,,
0.116666667,6.478764191,15.64129751,26.6162628,101.7150625,6.559804508,6.668649444,6.7754599,2.035064697,2.023468018,2.060012817,2.089996338,0.116666667,0.011666667,0,,5.873914339,224,,,,,0,5.982759276,,,,5.792874022,6.089569732,,,,,,
0.133333333,6.48690213,15.642225,26.61481322,101.7167813,6.56082175,6.667971282,6.775120819,2.034988403,2.023620605,2.060089111,2.089920044,0.133333333,0.013333333,0,,5.874875604,225,,,,,0,5.982025136,,,,5.800955984,6.089174673,,,,,,
0.15,6.491310181,15.64129751,26.60321664,101.7133438,6.56082175,6.662206909,6.7754599,2.035064697,2.023620605,2.059936523,2.089996338,0.15,0.015,0,,5.874793774,224,,,,,0,5.976178933,,,,5.805282204,6.089431924,,,,,,
0.166666667,6.496735474,15.64500749,26.61481322,101.7185,6.561160831,6.650678162,6.77952887,2.035293579,2.023544312,2.060241699,2.08984375,0.166666667,0.016666667,0,,5.875092666,224,,,,,0,5.964609997,,,,5.810667309,6.093460705,,,,,,
0.183333333,6.503856171,15.64037001,26.61481322,101.7185,6.559804508,6.644574707,6.77952887,2.035140991,2.023620605,2.060165405,2.089996338,0.183333333,0.018333333,0,,5.873939707,225,,,,,0,5.958709906,,,,5.81799137,6.093664069,,,,,,
0.2,6.504873413,15.64407999,26.61336364,101.7133438,6.56082175,6.643896546,6.77952887,2.035293579,2.023773193,2.059936523,2.089996338,0.2,0.02,0,,5.874778948,224,,,,,0,5.957853744,,,,5.818830611,6.093486068,,,,,,
0.216666667,6.503856171,15.64964497,26.58872106,101.7219375,6.559804508,6.638810334,6.77986795,2.035140991,2.023696899,2.060012817,2.089920044,0.216666667,0.021666667,0,,5.873257052,224,,,,,0,5.952262878,,,,5.817308715,6.093320495,,,,,,
0.233333333,6.508942383,15.80453685,26.59596883,101.7185,6.561160831,6.634402283,6.77952887,2.035140991,2.023696899,2.060165405,2.089996338,0.233333333,0.023333333,0,,5.867895752,225,,,,,0,5.941137205,,,,5.815677304,6.086263791,,,,,,
0.25,6.510298706,15.66355742,26.58582196,101.7185,6.555735538,6.628976991,6.77952887,2.035140991,2.023620605,2.060089111,2.090072632,0.25,0.025,0,,5.868547027,224,,,,,0,5.941788479,,,,5.823110195,6.092340358,,,,,,
0.266666667,6.518775726,15.84441919,26.59596883,101.7202188,6.555396457,6.623212617,6.77952887,2.034988403,2.023696899,2.060012817,2.08984375,0.266666667,0.026666667,0,,5.860381942,224,,,,,0,5.928198102,,,,5.823761211,6.084514355,,,,,,
0.283333333,6.519792969,15.65613745,26.60611578,101.7219375,6.556074619,6.617787324,6.77986795,2.035140991,2.023620605,2.060165405,2.090072632,0.283333333,0.028333333,0,,5.869426427,225,,,,,0,5.931139132,,,,5.833144777,6.093219758,,,,,,
0.3,6.531321716,15.79897188,26.60466621,101.7167813,6.560482669,6.613040193,6.785632324,2.035064697,2.023696899,2.060089111,2.090072632,0.3,0.03,0,,5.867554562,224,,,,,0,5.920112085,,,,5.838393609,6.092704216,,,,,,
0.316666667,6.534373444,15.67004989,26.58582196,101.7219375,6.560143589,6.607275819,6.785293243,2.035140991,2.023544312,2.060165405,2.089996338,0.316666667,0.031666667,0,,5.872670241,224,,,,,0,5.919802472,,,,5.846900096,6.097819895,,,,,,
0.333333333,6.535729767,15.66633991,26.59017061,101.7185,6.560482669,6.602189608,6.785293243,2.034988403,2.023468018,2.060089111,2.089920044,0.333333333,0.033333333,0,,5.873218169,225,,,,,0,5.914925108,,,,5.848465267,6.098028743,,,,,,
0.35,6.538781494,15.66170242,26.58292287,101.7202188,6.555396457,6.595407992,6.784615082,2.035140991,2.023620605,2.060165405,2.089920044,0.35,0.035,0,,5.868258606,224,,,,,0,5.90827014,,,,5.851643643,6.09747723,,,,,,
0.366666667,6.538442413,15.65891993,26.59162017,101.7185,6.554718296,6.583879244,6.784615082,2.034988403,2.023620605,2.060165405,2.089920044,0.366666667,0.036666667,0,,5.867794652,224,,,,,0,5.896955601,,,,5.85151877,6.097691438,,,,,,
0.383333333,6.546919434,15.74424959,26.57132656,101.725375,6.555057377,6.574045901,6.77986795,2.035140991,2.023620605,2.060241699,2.090148926,0.383333333,0.038333333,0,,5.864174267,225,,,,,0,5.883162792,,,,5.856036324,6.088984841,,,,,,
